It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,,Florida,Broward County Public Schools,October 2022,Banned in Libraries,Informal Challenge
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,,Florida,Broward County Public Schools,October 2022,Banned in Libraries and Classrooms,Informal Challenge
Killing Mr. Griffin,"Duncan, Lois",,,,,Florida,Broward County Public Schools,October 2022,Banned Pending Investigation,Informal Challenge
Lawn Boy,"Evison, Jonathan",,,,,Florida,Broward County Public Schools,October 2022,Banned Pending Investigation,Informal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Broward County Public Schools,October 2022,Banned in Libraries,Informal Challenge
Sold,"McCormick, Patricia",,,,,Florida,Broward County Public Schools,October 2022,Banned in Libraries,Informal Challenge
The Bluest Eye,"Morrison, Toni",,,,,Florida,Broward County Public Schools,October 2022,Banned in Libraries,Informal Challenge
The Kite Runner,"Hosseini, Khaled",,,,,Florida,Broward County Public Schools,October 2022,Banned Pending Investigation,Informal Challenge
This Day in June,"Pitman, Gayle E.",,"Litten, Kristyna",,,Florida,Broward County Public Schools,October 2022,Banned Pending Investigation,Informal Challenge
All the Bright Places,"Niven, Jennifer",,,,,Florida,Clay County School District,October 2022,Banned Pending Investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Alt Ed,"Atkins, Catherine",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",,,,Confessions of Georgia Nicolson,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Antiracist Baby,"Kendi, Ibram X.",,"Lukashevsky, Ashley",,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Ask the Passengers,"King, A. S.",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Formal Challenge
Breathless,"Niven, Jennifer",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Clockwork Princess,"Clare, Cassandra",,,,The Infernal Devices,Florida,Clay County School District,September 2022,Banned in Libraries,Formal Challenge
Crank,"Hopkins, Ellen",,,,Crank,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Dear Martin,"Stone, Nic",,,,,Florida,Clay County School District,July 2022,Banned in Libraries,Formal Challenge
Embrace,"Shirvington, Jessica",,,,The Violet Eden Chapters,Florida,Clay County School District,October 2022,Banned Pending Investigation,Formal Challenge
Fable,"Young, Adrienne",,,,Fable,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Fade,"McMann, Lisa",,,,Wake,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Fallout,"Hopkins, Ellen",,,,Crank,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Fangirl,"Rowell, Rainbow",,,,Fangirl,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Flamer,"Curato, Mike",,,,,Florida,Clay County School District,September 2022,Banned in Libraries,Formal Challenge
Foul is Fair,"Capin, Hannah",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Grown,"Jackson, Tiffany D.",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Homegoing,"Gyasi, Yaa",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Is He a Girl?,"Sachar, Louis",,,,Marvin Redpost,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Julián Is a Mermaid,"Love, Jessica",,,,Julián,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Juliet Takes a Breath,"Rivera, Gabby",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
"Let's Talk About It: The Teen's Guide to Sex, Relationships, and Being a Human (A Graphic Novel)","Moen, Erika","Nolan, Matthew",,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Light It Up,"Magoon, Kekla",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Love Lies Beneath,"Hopkins, Ellen",,,,Love Lies Beneath,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Not That Bad: Dispatches from Rape Culture,"Gay, Roxane",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
"Novels for Students, Vol. 9: Presenting analysis, context, and criticism on commonly studied novels","Stanley, Deborah A.","Milne, Ira Mark",,,Novels for Students,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Ramona Blue,"Murphy, Julie",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Ready or Not,"Cabot, Meg",,,,All-American Girl,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Rumble,"Hopkins, Ellen",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Scars,"Rainfield, Cheryl",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Shine,"Myracle, Lauren",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
Someday,"Levithan, David",,,,Every Day,Florida,Clay County School District,November 2022,Banned Pending Investigation,Formal Challenge
Stained,"Jacobson, Jennifer Richard",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
The Art of Racing in the Rain,"Stein, Garth",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Clay County School District,July 2022,Banned in Libraries,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
The Fire Next Time,"Baldwin, James",,,,,Florida,Clay County School District,October 2022,Banned in Libraries and Classrooms,Formal Challenge
The Haters,"Andrews, Jesse",,,,,Florida,Clay County School District,July 2022,Banned Pending Investigation,Formal Challenge
The Midnight Lie,"Rutkoski, Marie",,,,Forgotten Gods,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
The Prince and the Dressmaker,"Wang, Jen",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Clay County School District,September 2022,Banned in Libraries,Formal Challenge
The You I've Never Known,"Hopkins, Ellen",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Clay County School District,July 2022,Banned in Libraries,Formal Challenge
Tower of Dawn,"Maas, Sarah J.",,,,Throne of Glass,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Triangles,"Hopkins, Ellen",,,,,Florida,Clay County School District,July 2022,Banned in Libraries and Classrooms,Formal Challenge
ttyl,"Myracle, Lauren",,,,Internet Girls,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Twisted,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",,,,,Florida,Clay County School District,September 2022,Banned in Libraries,Formal Challenge
Wayward Son,"Rowell, Rainbow",,,,Simon Snow,Florida,Clay County School District,July 2022,Banned Pending Investigation,Formal Challenge
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol","Bolden, Tonya",,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
We Are the Ants,"Hutchinson, Shaun David",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Woke: A Young Poets Call to Justice,"Browne, Mahogany L.","Acevedo, Elizabeth; Gatwood, Olivia","Taylor III, Theodore",,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Yolk,"Choi, Mary H.K.",,,,,Florida,Clay County School District,September 2022,Banned in Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Escambia County Public Schools,August 2022,Banned Pending Investigation,Formal Challenge
All the Things We Do in the Dark,"Mitchell, Saundra",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Almost Perfect,"Katcher, Brian",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
And Tango Makes Three,"Richardson, Justin","Parnell, Peter","Cole, Henry",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",,,,Confessions of Georgia Nicolson,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Autoboyography,"Lauren, Christina",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Beartown,"Backman, Fredrik",,,"Smith, Neil",Beartown,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Beautiful,"Reed, Amy",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Beloved,"Morrison, Toni",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Better Nate Than Ever,"Federle, Tim",,,,Nate,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
"Black Brother, Black Brother","Parker Rhodes, Jewell",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Born Ready: The True Story of a Boy Named Penelope,"Patterson, Jodie",,"Barlow, Charnelle Pinkney",,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Boy Girl Boy,"Koertge, Ron",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Boy2Girl,"Blacker, Terence",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Breathless,"Niven, Jennifer",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Bumped,"McCafferty, Megan",,,,Bumped,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Burned (EH),"Hopkins, Ellen",,,,Burned,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Chosen,"Cast, P. C.","Cast, Kristin",,,House of Night,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
City of Thieves,"Benioff, David",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Clockwork Princess,"Clare, Cassandra",,,,The Infernal Devices,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Crank,"Hopkins, Ellen",,,,Crank,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Darius the Great Deserves Better,"Khorram, Adib",,,,Darius the Great,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Dead Until Dark,"Harris, Charlaine",,,,Sookie Stackhouse,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Deogratias: A Tale of Rwanda,"Stassen, Jean-Philippe",,,"Siegel, Alexis",,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Dime,"Frank, E. R.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Doing It!: Let's Talk About Sex,"Witton, Hannah",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Draw Me a Star,"Carle, Eric",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Eleanor & Park,"Rowell, Rainbow",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Fade,"McMann, Lisa",,,,Wake,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Finding Cinderella,"Hoover, Colleen",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Forever...,"Blume, Judy",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Foul is Fair,"Capin, Hannah",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
From Blood and Ash,"Armentrout, Jennifer L.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Girl in Pieces,"Glasgow, Kathleen",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
GLBTQ*: The Survival Guide for Queer & Questioning Teens,"Huegel, Kelly",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Go Ask Alice,"Sparks, Beatrice",Anonymous,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Graceling,"Cashore, Kristin",,,,Graceling Realm,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Grit,"French, Gillian",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ground Zero,"Gratz, Alan",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Grown,"Jackson, Tiffany D.",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Guyaholic,"Mackler, Carolyn",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Heroine,"McGinnis, Mindy",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
House of Earth and Blood,"Maas, Sarah J.",,,,Crescent City,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
I Never,"Hopper, Laura",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
I'll Give You the Sun,"Nelson, Jandy",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Identical,"Hopkins, Ellen",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Infandous,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
It Ends With Us,"Hoover, Colleen",,,,It Ends with Us,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Jesus Land: A Memoir,"Scheeres, Julia",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Killing Mr. Griffin,"Duncan, Lois",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Kingdom of Ash,"Maas, Sarah J.",,,,Throne of Glass,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Kingdom of Flesh and Fire,"Armentrout, Jennifer L.",,,,Blood and Ash,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
"l8r, g8r","Myracle, Lauren",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Leah on the Offbeat,"Albertalli, Becky",,,,Simonverse,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Lessons from a Dead Girl,"Knowles, Jo",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Lexicon,"Barry, Max",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Little & Lion,"Colbert, Brandy",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Looking for Alaska,"Green, John",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Lucky,"Sebold, Alice",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Lush,"Friend, Natasha",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Melissa (George),"Gino, Alex",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Milk and Honey,"Kaur, Rupi",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
More Happy Than Not,"Silvera, Adam",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
My Friend Dahmer,"Backderf, Derf",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
New Kid,"Craft, Jerry",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Nineteen Minutes,"Picoult, Jodi",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Out of Darkness,"Pérez, Ashley Hope",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Push,Sapphire,,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Race and Policing in Modern America,"Harris, Duchess","Van , R. L.",,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Rainbow Boys,"Sanchez, Alex",,,,Rainbow Trilogy,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ramona Blue,"Murphy, Julie",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Ready or Not,"Cabot, Meg",,,,All-American Girl,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
"Red, White, and Royal Blue","McQuiston, Casey",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Rumble,"Hopkins, Ellen",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Scars,"Rainfield, Cheryl",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Sloppy Firsts,"McCafferty, Megan",,,,Jessica Darling,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Smoke,"Hopkins, Ellen",,,,Impulse,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Stella Brings the Family,"Schiffer, Miriam B.",,"Clifton-Brown, Holly",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The 1619 Project: A New Origin Story,"Hannah-Jones, Nikole",The New York Times Magazine,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Bluest Eye,"Morrison, Toni",,,,,Florida,Escambia County Public Schools,August 2022,Banned Pending Investigation,Formal Challenge
The Breakaways,"Johnson, Cathy G.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Hamilton High,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The Female of the Species,"McGinnis, Mindy",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Glass Castle,"Walls, Jeannette",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The God of Small Things,"Roy, Arundhati",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
